Season,Name,Team,BABIP,PA,GB,LD,FB,IFFB,GB/FB,HR/FB,O-Swing (pfx),Z-Swing (pfx),Swing (pfx),O-Contact (pfx),Z-Contact (pfx),Contact (pfx),Zone (pfx),playerid
2004,Bobby Abreu,Phillies,.329,713,41.9 ,21.3 ,36.8 ,3.5 ,1.14,17.5 , , , , , , , ,945
2012,Ryan Braun,Brewers,.346,677,43.6 ,18.4 ,38.1 ,6.1 ,1.14,22.8 ,34.0 ,65.9 ,48.5 ,68.0 ,87.5 ,80.1 ,45.6 ,3410
2009,Kevin Youkilis,Red Sox,.359,588,34.6 ,21.1 ,44.3 ,5.5 ,0.78,16.5 ,19.3 ,55.0 ,37.9 ,61.7 ,89.3 ,82.6 ,52.0 ,1935
2011,Matt Kemp,Dodgers,.380,689,36.3 ,23.2 ,40.5 ,2.2 ,0.90,21.4 ,30.3 ,67.9 ,48.0 ,63.4 ,78.5 ,73.5 ,47.0 ,5631
2010,Carlos Gonzalez,Rockies,.384,636,42.5 ,20.8 ,36.6 ,9.6 ,1.16,20.4 ,36.5 ,65.6 ,50.5 ,62.2 ,87.0 ,77.7 ,48.2 ,7287
2009,Derrek Lee,Cubs,.327,615,35.1 ,19.2 ,45.7 ,4.6 ,0.77,17.9 ,24.1 ,61.8 ,42.5 ,63.7 ,85.9 ,79.5 ,48.9 ,525
2005,Chipper Jones,Braves,.300,432,41.8 ,23.0 ,35.2 ,2.8 ,1.19,19.6 , , , , , , , ,97
2003,Trot Nixon,Red Sox,.334,513,28.5 ,24.2 ,47.3 ,14.6 ,0.60,17.1 , , , , , , , ,204
2007,Jim Thome,White Sox,.316,536,42.9 ,17.9 ,39.2 ,5.1 ,1.09,29.7 ,18.8 ,59.6 ,38.0 ,50.7 ,80.4 ,72.6 ,47.1 ,409
2002,Chipper Jones,Braves,.349,662,40.8 ,25.7 ,33.5 ,8.4 ,1.22,16.8 , , , , , , , ,97
2002,Lance Berkman,Astros,.302,692,40.1 ,21.0 ,38.8 ,7.8 ,1.03,23.5 , , , , , , , ,548
2005,Manny Ramirez,Red Sox,.295,650,37.4 ,24.3 ,38.3 ,6.5 ,0.98,26.6 , , , , , , , ,210
2004,Vladimir Guerrero,Angels,.329,680,41.8 ,20.9 ,37.4 ,9.3 ,1.12,19.1 , , , , , , , ,778
2006,Matt Holliday,Rockies,.351,667,44.6 ,21.0 ,34.3 ,6.5 ,1.30,20.0 , , , , , , , ,1873
2011,Prince Fielder,Brewers,.306,692,43.1 ,19.8 ,37.1 ,6.3 ,1.16,21.8 ,27.1 ,62.1 ,42.2 ,64.8 ,89.5 ,80.5 ,43.0 ,4613
2008,Mark Teixeira,- - -,.316,685,42.8 ,20.7 ,36.5 ,7.9 ,1.17,18.5 ,22.8 ,58.9 ,38.7 ,69.3 ,90.8 ,83.7 ,44.0 ,1281
2008,Alex Rodriguez,Yankees,.328,594,42.0 ,18.1 ,39.9 ,9.4 ,1.05,22.0 ,25.4 ,65.2 ,45.0 ,56.5 ,83.6 ,75.8 ,49.1 ,1274
2008,Matt Holliday,Rockies,.359,623,45.5 ,21.7 ,32.7 ,9.1 ,1.39,17.5 ,30.4 ,74.3 ,49.8 ,61.9 ,83.5 ,76.2 ,44.3 ,1873
2006,Barry Bonds,Giants,.251,493,30.3 ,20.2 ,49.5 ,10.2 ,0.61,16.6 , , , , , , , ,1109
2006,Garrett Atkins,Rockies,.335,695,37.0 ,22.0 ,41.1 ,4.6 ,0.90,13.2 , , , , , , , ,1790
2012,Mike Trout,Angels,.383,639,44.4 ,22.6 ,33.0 ,4.3 ,1.35,21.6 ,24.8 ,53.4 ,39.4 ,71.2 ,86.2 ,81.6 ,51.0 ,10155
2008,Ryan Ludwick,Cardinals,.342,617,27.3 ,26.3 ,46.5 ,8.6 ,0.59,19.9 ,26.3 ,65.3 ,45.9 ,53.7 ,84.4 ,75.6 ,50.3 ,1260
2006,Carlos Beltran,Mets,.263,617,36.5 ,16.8 ,46.6 ,11.3 ,0.78,21.1 , , , , , , , ,589
2004,David Ortiz,Red Sox,.322,669,34.6 ,19.5 ,46.0 ,6.7 ,0.75,19.5 , , , , , , , ,745
2011,Lance Berkman,Cardinals,.315,587,38.7 ,22.1 ,39.2 ,8.3 ,0.99,19.9 ,23.4 ,71.7 ,44.9 ,58.0 ,88.0 ,79.3 ,44.5 ,548
2005,Carlos Delgado,Marlins,.332,616,39.9 ,22.7 ,37.4 ,7.9 ,1.07,21.7 , , , , , , , ,1297
2011,Adrian Gonzalez,Red Sox,.380,715,46.7 ,21.2 ,32.1 ,5.5 ,1.45,16.4 ,33.3 ,64.6 ,47.1 ,70.1 ,89.3 ,81.7 ,43.9 ,1908
2009,Ben Zobrist,Rays,.326,599,41.5 ,20.0 ,38.5 ,5.2 ,1.08,17.5 ,21.5 ,54.9 ,37.4 ,68.8 ,88.0 ,82.2 ,47.6 ,7435
2011,David Ortiz,Red Sox,.321,605,41.1 ,21.4 ,37.5 ,6.6 ,1.10,17.5 ,23.3 ,66.2 ,42.9 ,66.5 ,90.5 ,83.4 ,45.7 ,745
2007,Mark Teixeira,- - -,.342,575,39.3 ,19.8 ,40.9 ,8.9 ,0.96,19.1 ,23.2 ,58.3 ,39.1 ,60.2 ,86.8 ,78.1 ,45.2 ,1281
2009,Hanley Ramirez,Marlins,.379,652,38.6 ,19.8 ,41.5 ,9.5 ,0.93,12.1 ,27.1 ,66.0 ,46.0 ,64.9 ,88.2 ,81.1 ,48.4 ,8001
2005,Jason Bay,Pirates,.350,707,35.6 ,23.8 ,40.6 ,6.4 ,0.88,17.0 , , , , , , , ,1717
2006,Jason Giambi,Yankees,.245,579,30.3 ,16.4 ,53.3 ,10.8 ,0.57,20.0 , , , , , , , ,818
2010,Troy Tulowitzki,Rockies,.327,529,44.9 ,15.0 ,40.1 ,16.5 ,1.12,17.1 ,26.0 ,58.5 ,42.1 ,73.6 ,91.1 ,85.7 ,49.6 ,3531
2012,Buster Posey,Giants,.368,610,46.5 ,24.6 ,28.9 ,3.9 ,1.61,18.8 ,25.1 ,59.0 ,41.5 ,75.3 ,89.6 ,85.2 ,48.4 ,9166
2008,Kevin Youkilis,Red Sox,.339,621,33.9 ,21.9 ,44.2 ,2.1 ,0.77,14.9 ,23.3 ,57.2 ,41.4 ,69.6 ,90.1 ,84.7 ,53.5 ,1935
2011,Joey Votto,Reds,.349,719,39.1 ,27.5 ,33.4 ,0.6 ,1.17,18.2 ,24.8 ,62.8 ,41.9 ,67.3 ,84.5 ,78.9 ,44.9 ,4314
2007,Milton Bradley,- - -,.327,244,38.9 ,18.6 ,42.5 ,9.9 ,0.92,18.3 ,24.1 ,67.6 ,44.4 ,63.5 ,85.4 ,79.1 ,46.6 ,369
2012,Giancarlo Stanton,Marlins,.344,501,36.2 ,22.1 ,41.7 ,9.4 ,0.87,28.9 ,33.7 ,65.5 ,47.8 ,45.8 ,82.8 ,68.2 ,44.2 ,4949
2007,Hanley Ramirez,Marlins,.353,706,40.1 ,18.0 ,41.9 ,11.0 ,0.96,12.7 ,27.7 ,62.6 ,43.7 ,70.5 ,90.6 ,83.7 ,45.8 ,8001
2006,Wes Helms,Marlins,.383,278,37.9 ,26.3 ,35.8 ,5.9 ,1.06,14.7 , , , , , , , ,94
2005,Mark Teixeira,Rangers,.315,730,39.0 ,22.2 ,38.8 ,9.9 ,1.00,21.2 , , , , , , , ,1281
2002,Albert Pujols,Cardinals,.308,675,42.9 ,21.9 ,35.1 ,14.7 ,1.22,18.5 , , , , , , , ,1177
2006,Nick Johnson,Nationals,.320,628,42.1 ,22.3 ,35.6 ,8.3 ,1.18,16.0 , , , , , , , ,828
2008,Shin-Soo Choo,Indians,.367,370,41.1 ,22.8 ,36.1 ,8.0 ,1.14,16.1 ,22.7 ,68.1 ,44.6 ,56.5 ,82.7 ,75.8 ,48.2 ,3174
2003,Frank Thomas,White Sox,.265,662,23.9 ,21.1 ,54.9 ,13.4 ,0.44,17.6 , , , , , , , ,255
2010,Nelson Cruz,Rangers,.348,445,37.2 ,18.0 ,44.9 ,6.2 ,0.83,15.2 ,29.6 ,68.5 ,48.3 ,61.5 ,81.4 ,75.1 ,48.0 ,2434
2003,Brian Giles,- - -,.304,609,33.3 ,23.7 ,42.9 ,13.3 ,0.78,10.6 , , , , , , , ,990
2009,Adrian Gonzalez,Padres,.278,681,38.8 ,20.9 ,40.4 ,5.0 ,0.96,22.2 ,24.8 ,66.4 ,42.9 ,65.7 ,84.1 ,78.1 ,43.3 ,1908
2009,Ryan Braun,Brewers,.353,708,46.5 ,19.4 ,34.1 ,17.0 ,1.36,18.2 ,34.0 ,58.2 ,46.0 ,65.9 ,90.1 ,81.1 ,49.5 ,3410
2007,Miguel Cabrera,Marlins,.355,680,40.0 ,20.7 ,39.3 ,10.3 ,1.02,18.5 ,31.2 ,72.1 ,48.1 ,63.4 ,89.1 ,79.3 ,41.4 ,1744
2008,Hanley Ramirez,Marlins,.329,693,45.8 ,17.5 ,36.7 ,10.5 ,1.25,19.2 ,21.7 ,59.7 ,39.7 ,64.0 ,89.9 ,82.4 ,47.1 ,8001
2003,Matt Stairs,Pirates,.309,357,35.0 ,20.6 ,44.4 ,19.4 ,0.79,18.5 , , , , , , , ,1384
2012,Andrew McCutchen,Pirates,.375,673,43.8 ,21.9 ,34.3 ,6.3 ,1.28,19.4 ,22.0 ,67.6 ,45.2 ,56.4 ,84.2 ,77.6 ,50.8 ,9847
2003,Melvin Mora,Orioles,.362,413,40.3 ,25.0 ,34.7 ,10.8 ,1.16,16.1 , , , , , , , ,157
2003,Jason Giambi,Yankees,.259,690,27.0 ,21.0 ,52.0 ,12.0 ,0.52,19.7 , , , , , , , ,818
2009,Mark Teixeira,Yankees,.302,707,36.4 ,19.8 ,43.8 ,9.6 ,0.83,17.8 ,25.0 ,57.9 ,40.4 ,68.6 ,90.7 ,83.4 ,46.8 ,1281
2002,Rafael Palmeiro,Rangers,.255,663,25.5 ,23.4 ,51.1 ,13.7 ,0.50,18.4 , , , , , , , ,1266
2003,Richard Hidalgo,Astros,.339,585,32.0 ,25.1 ,42.9 ,12.9 ,0.75,15.7 , , , , , , , ,561
2009,Miguel Cabrera,Tigers,.348,685,43.2 ,20.0 ,36.8 ,8.1 ,1.17,18.3 ,33.0 ,67.5 ,49.5 ,65.5 ,89.3 ,81.0 ,47.7 ,1744
2012,Brandon Moss,Athletics,.359,296,32.8 ,21.5 ,45.8 ,8.6 ,0.72,25.9 ,32.7 ,70.4 ,50.4 ,48.3 ,76.4 ,66.7 ,46.9 ,4467
2002,Erubiel Durazo,Diamondbacks,.282,276,37.6 ,21.2 ,41.2 ,2.9 ,0.91,23.5 , , , , , , , ,1413
2004,Adam Dunn,Reds,.321,681,32.2 ,19.8 ,48.0 ,11.2 ,0.67,25.7 , , , , , , , ,319
2002,Jeremy Giambi,- - -,.307,398,33.8 ,23.7 ,42.5 ,12.9 ,0.80,21.5 , , , , , , , ,913
2006,Brian McCann,Braves,.332,492,35.0 ,21.8 ,43.1 ,10.0 ,0.81,14.1 , , , , , , , ,4810
2009,Alex Rodriguez,Yankees,.303,535,42.3 ,20.0 ,37.7 ,6.8 ,1.12,22.7 ,23.3 ,62.4 ,41.5 ,61.5 ,85.1 ,78.0 ,46.5 ,1274
2003,Bill Mueller,Red Sox,.350,600,38.4 ,26.8 ,34.8 ,13.4 ,1.10,12.1 , , , , , , , ,295
2003,Jim Thome,Phillies,.302,698,38.0 ,23.3 ,38.8 ,9.7 ,0.98,30.3 , , , , , , , ,409
2007,Todd Helton,Rockies,.340,682,39.6 ,24.1 ,36.3 ,5.6 ,1.09,9.6 ,23.4 ,59.3 ,40.8 ,88.2 ,95.1 ,93.0 ,48.4 ,432
2002,Carlos Delgado,Blue Jays,.302,628,35.1 ,19.6 ,45.2 ,8.6 ,0.78,18.9 , , , , , , , ,1297
2002,Bobby Abreu,Phillies,.354,685,42.5 ,24.9 ,32.6 ,4.7 ,1.30,13.4 , , , , , , , ,945
2005,J.D. Drew,Dodgers,.300,311,46.3 ,15.1 ,38.5 ,10.1 ,1.20,19.0 , , , , , , , ,1152
2003,David Ortiz,Red Sox,.292,509,33.8 ,27.5 ,38.7 ,7.7 ,0.87,21.8 , , , , , , , ,745
2004,Jim Thome,Phillies,.298,618,37.3 ,17.7 ,45.0 ,9.1 ,0.83,25.5 , , , , , , , ,409
2011,Jacoby Ellsbury,Red Sox,.336,732,43.0 ,22.9 ,34.1 ,10.4 ,1.26,16.7 ,24.7 ,60.7 ,43.8 ,72.2 ,90.9 ,85.9 ,52.9 ,4727
